,city,date,fare,ride_id,driver_count,type
73,Rogerston,2019-02-23,14.04,7647140000000.0,25,Urban
74,Huntermouth,2019-02-24,39.12,928039000000.0,37,Urban
75,New Jacobville,2019-02-09,7.11,3855050000000.0,50,Urban
76,Lake Jonathanshire,2019-04-07,31.25,4441250000000.0,5,Urban
77,Port David,2019-03-17,33.11,1025680000000.0,7,Urban
78,Martinezhaven,2019-02-20,13.34,2760690000000.0,25,Urban
79,Port Frank,2019-04-19,26.47,6722710000000.0,23,Urban
80,Valentineton,2019-03-02,39.77,6770390000000.0,45,Urban
81,Hurleymouth,2019-03-03,36.31,167035000000.0,36,Urban
82,Carriemouth,2019-02-25,32.37,6918430000000.0,52,Urban
83,Port Samanthamouth,2019-04-16,9.2,8712250000000.0,57,Urban
84,Williamsstad,2019-01-23,19.62,125986000000.0,59,Urban
85,Royland,2019-01-07,24.5,3620850000000.0,64,Urban
86,New Jacobville,2019-01-05,34.11,2828520000000.0,50,Urban
87,Roberthaven,2019-03-06,12.38,3372960000000.0,47,Urban
88,South Evanton,2019-01-07,43.61,9122500000000.0,11,Urban
89,New Paulton,2019-05-03,21.67,9086560000000.0,44,Urban
90,Karenberg,2019-03-11,36.15,7796760000000.0,22,Urban
91,Rodneyfort,2019-01-30,16.99,5778730000000.0,34,Urban
92,East Kaylahaven,2019-04-04,23.18,57422927996.0,65,Urban
93,Huntermouth,2019-02-19,7.05,1616520000000.0,37,Urban
94,Barajasview,2019-01-23,37.68,4108450000000.0,26,Urban
95,Williamsstad,2019-03-29,35.58,4747780000000.0,59,Urban
96,North Jason,2019-03-08,25.21,3180080000000.0,6,Urban
97,Christopherfurt,2019-04-17,23.3,7819060000000.0,41,Urban
98,Liumouth,2019-01-11,36.78,1464520000000.0,69,Urban
99,Johnton,2019-01-17,32.19,8526300000000.0,27,Urban
100,West Angela,2019-03-08,41.06,6204870000000.0,48,Urban
101,Jerryton,2019-01-04,37.2,5637870000000.0,64,Urban
102,Erikaland,2019-02-18,20.62,3294150000000.0,37,Urban
103,North Jason,2019-02-07,20.0,473650000000.0,6,Urban
104,Lake Scottton,2019-05-05,18.77,405382000000.0,58,Urban
105,Simpsonburgh,2019-03-22,22.05,3495180000000.0,21,Urban
106,Raymondhaven,2019-03-12,16.98,6447700000000.0,11,Urban
107,West Robert,2019-04-05,44.58,4246010000000.0,39,Urban
108,North Jason,2019-03-18,6.41,2865830000000.0,6,Urban
109,Port Samanthamouth,2019-01-23,35.51,3116860000000.0,57,Urban
110,West Robert,2019-01-21,27.11,1369910000000.0,39,Urban
111,Jerryton,2019-01-05,37.91,1587080000000.0,64,Urban
112,Port Samanthamouth,2019-02-03,18.03,9292190000000.0,57,Urban
113,Liumouth,2019-01-15,14.55,4379350000000.0,69,Urban
114,West Heidi,2019-04-03,24.76,1820230000000.0,28,Urban
115,Loganberg,2019-01-21,22.86,1954300000000.0,23,Urban
116,Grahamburgh,2019-02-17,30.25,4047930000000.0,61,Urban
117,Raymondhaven,2019-05-06,25.76,8721020000000.0,11,Urban
118,Karenside,2019-01-25,14.52,2652360000000.0,5,Urban
119,Port Frank,2019-04-06,18.08,5474890000000.0,23,Urban
120,Leahton,2019-04-02,22.76,5808730000000.0,17,Urban
121,Port Samanthamouth,2019-04-22,29.67,3154060000000.0,57,Urban
122,Jerryton,2019-04-13,32.08,8499180000000.0,64,Urban
123,West Patrickchester,2019-03-07,23.66,3066090000000.0,25,Urban
124,West Samuelburgh,2019-03-03,27.48,100531000000.0,73,Urban
125,North Markport,2019-03-31,29.41,3093470000000.0,22,Urban
126,West Angela,2019-03-10,27.1,1365320000000.0,48,Urban
127,Grahamburgh,2019-03-12,22.97,4898010000000.0,61,Urban
128,South Michelleport,2019-01-08,23.77,4916160000000.0,72,Urban
129,East Kaylahaven,2019-04-02,9.67,2088460000000.0,65,Urban
130,South Karenland,2019-04-22,22.86,6728150000000.0,4,Urban
131,Lake Danielberg,2019-02-24,9.63,9149330000000.0,19,Urban
132,Justinberg,2019-04-26,8.83,1823090000000.0,39,Urban
133,Karenberg,2019-04-29,28.41,9052850000000.0,22,Urban
134,South Phillip,2019-02-09,7.89,3203190000000.0,38,Urban
135,North Madeline,2019-04-05,29.69,240703000000.0,19,Urban
136,New Kimberlyborough,2019-05-01,22.59,9250930000000.0,33,Urban
137,South Jack,2019-04-24,38.04,2197990000000.0,46,Urban
138,Erikaland,2019-03-11,27.39,132014000000.0,37,Urban
139,New Paulville,2019-03-27,7.29,7046760000000.0,44,Urban
140,Hurleymouth,2019-03-26,41.15,4707260000000.0,36,Urban
141,Liumouth,2019-04-12,43.34,7857230000000.0,69,Urban
142,Deanville,2019-05-01,8.28,592955000000.0,49,Urban
143,Karenside,2019-04-02,41.93,4093610000000.0,5,Urban
144,West Angela,2019-01-30,19.13,2078140000000.0,48,Urban
145,Liumouth,2019-02-01,24.81,5470070000000.0,69,Urban
146,Jerryton,2019-03-27,13.29,8959840000000.0,64,Urban
147,South Phillip,2019-05-04,28.3,8696570000000.0,38,Urban
148,Port Johnbury,2019-04-27,25.67,2746330000000.0,3,Urban
149,Raymondhaven,2019-02-08,5.7,3930030000000.0,11,Urban
150,Port David,2019-03-07,42.04,9905960000000.0,7,Urban
151,Robertport,2019-03-06,6.73,9679760000000.0,12,Urban
152,Loganberg,2019-03-16,23.99,9492900000000.0,23,Urban
153,Karenside,2019-04-19,36.01,1322740000000.0,5,Urban
154,Lake Jonathanshire,2019-03-09,19.89,2389500000000.0,5,Urban
155,Pattyland,2019-01-30,8.57,4688890000000.0,59,Urban
156,West Robert,2019-04-13,32.94,9603610000000.0,39,Urban
157,Justinberg,2019-04-12,17.03,8374760000000.0,39,Urban
158,West Josephberg,2019-02-09,4.42,8303790000000.0,45,Urban
159,North Markport,2019-01-21,27.68,4556760000000.0,22,Urban
160,Williamsview,2019-01-09,44.46,2195530000000.0,46,Urban
161,Raymondhaven,2019-02-01,13.86,8721050000000.0,11,Urban
162,South Latoya,2019-02-12,30.22,7388420000000.0,10,Urban
163,Deanville,2019-03-29,5.32,2612670000000.0,49,Urban
164,Amandaburgh,2019-03-05,26.28,906851000000.0,12,Urban
165,Jerryton,2019-01-27,29.08,6160530000000.0,64,Urban
166,Deanville,2019-03-24,30.55,5276110000000.0,49,Urban
167,West Anthony,2019-01-23,23.24,596601000000.0,70,Urban
168,West Anthony,2019-02-24,39.2,8491410000000.0,70,Urban
169,West Heidi,2019-03-30,22.41,1711350000000.0,28,Urban
170,Royland,2019-01-01,7.57,5815380000000.0,64,Urban
171,South Latoya,2019-03-02,10.35,338289000000.0,10,Urban
172,Johnton,2019-01-08,43.75,195319000000.0,27,Urban
173,West Angela,2019-01-30,32.31,7288680000000.0,48,Urban
174,Rodneyfort,2019-01-08,29.4,1184250000000.0,34,Urban
175,Royland,2019-01-02,10.19,668201000000.0,64,Urban
176,New Paulville,2019-01-31,20.8,1092840000000.0,44,Urban
177,Huntermouth,2019-04-09,35.11,3005610000000.0,37,Urban
178,New Paulville,2019-01-30,7.02,8504960000000.0,44,Urban
179,Justinberg,2019-05-03,36.06,929542000000.0,39,Urban
180,Port Angela,2019-03-31,30.77,662264000000.0,67,Urban
181,Port Angela,2019-04-09,11.9,7009810000000.0,67,Urban
182,Christopherfurt,2019-01-05,33.51,1901030000000.0,41,Urban
183,South Michelleport,2019-04-22,43.62,4663610000000.0,72,Urban
184,Williamsstad,2019-02-13,33.72,3796710000000.0,59,Urban
185,Lake Jonathanshire,2019-04-07,24.28,7796810000000.0,5,Urban
186,Robertport,2019-03-20,20.21,9630920000000.0,12,Urban
187,Port Angela,2019-02-08,30.38,5165540000000.0,67,Urban
188,Barajasview,2019-02-08,24.49,2612170000000.0,26,Urban
189,South Evanton,2019-01-24,17.83,2996660000000.0,11,Urban
190,Lake Danielberg,2019-02-13,43.96,100024000000.0,19,Urban
191,Royland,2019-04-19,25.4,9847760000000.0,64,Urban
192,Rodneyfort,2019-02-08,30.02,2497020000000.0,34,Urban
193,East Kaylahaven,2019-01-17,40.82,6342490000000.0,65,Urban
194,West Christopherberg,2019-01-17,9.04,5154850000000.0,32,Urban
195,New Jacobville,2019-01-15,27.24,3812960000000.0,50,Urban
196,Lake Jonathanshire,2019-01-02,13.89,424255000000.0,5,Urban
197,Port Samanthamouth,2019-04-25,25.5,1169130000000.0,57,Urban
198,West Heidi,2019-03-26,22.33,826311000000.0,28,Urban
199,Karenside,2019-04-14,13.13,3659610000000.0,5,Urban
200,Valentineton,2019-02-01,9.68,2132100000000.0,45,Urban
201,Raymondhaven,2019-02-23,4.24,294151000000.0,11,Urban
202,Carriemouth,2019-03-11,16.78,1519390000000.0,52,Urban
203,West Josephberg,2019-01-16,7.04,2507080000000.0,45,Urban
204,Port Samanthamouth,2019-03-01,43.25,1389180000000.0,57,Urban
205,Karenberg,2019-03-30,24.64,4539330000000.0,22,Urban
206,New Paulton,2019-03-10,28.0,1067160000000.0,44,Urban
207,Joneschester,2019-02-07,6.34,2605460000000.0,39,Urban
208,North Jasmine,2019-02-08,4.86,1276630000000.0,33,Urban
209,Valentineton,2019-02-27,25.4,6152360000000.0,45,Urban
210,New Paulton,2019-02-20,24.29,7738130000000.0,44,Urban
211,South Evanton,2019-04-28,22.86,7585360000000.0,11,Urban
212,North Jasmine,2019-01-22,31.68,712302000000.0,33,Urban
213,West Anthony,2019-03-17,35.42,4561320000000.0,70,Urban
214,Jerryton,2019-04-29,41.27,902958000000.0,64,Urban
215,Grahamburgh,2019-01-09,13.55,5462600000000.0,61,Urban
216,South Jack,2019-03-30,4.2,4817670000000.0,46,Urban
217,West Christopherberg,2019-01-23,30.93,5335680000000.0,32,Urban
218,Lake Scottton,2019-03-26,9.79,1827900000000.0,58,Urban
219,West Patrickchester,2019-01-14,24.82,5934940000000.0,25,Urban
220,Royland,2019-01-17,27.92,3147270000000.0,64,Urban
221,South Karenland,2019-02-14,39.53,2861640000000.0,4,Urban
222,Erikaland,2019-03-27,36.52,2195950000000.0,37,Urban
223,Rodneyfort,2019-03-20,42.57,6354950000000.0,34,Urban
224,Williamsstad,2019-05-01,26.81,4542950000000.0,59,Urban
225,Richardfort,2019-02-13,14.0,910050000000.0,38,Urban
226,West Ericstad,2019-01-25,20.03,3276480000000.0,25,Urban
227,Grahamburgh,2019-03-05,4.33,803729000000.0,61,Urban
228,North Barbara,2019-05-04,24.09,9275090000000.0,18,Urban
229,West Robert,2019-01-04,35.35,9554290000000.0,39,Urban
230,Justinberg,2019-03-14,36.32,6771690000000.0,39,Urban
231,South Michelleport,2019-03-03,41.62,2339780000000.0,72,Urban
232,North Jasmine,2019-02-22,25.33,1319970000000.0,33,Urban
233,Barajasview,2019-03-01,28.25,7225830000000.0,26,Urban
234,Carriemouth,2019-04-04,12.91,4276690000000.0,52,Urban
235,Amandaburgh,2019-02-24,43.66,6573820000000.0,12,Urban
236,Johnton,2019-03-27,18.89,3634070000000.0,27,Urban
237,Port Angela,2019-03-04,40.35,4930810000000.0,67,Urban
238,Rodneyfort,2019-05-06,27.16,3765500000000.0,34,Urban
239,Amandaburgh,2019-02-10,36.17,6455620000000.0,12,Urban
240,North Madeline,2019-02-25,13.58,4932840000000.0,19,Urban
241,West Angela,2019-03-01,30.3,9673530000000.0,48,Urban
242,Joneschester,2019-01-03,25.47,5540180000000.0,39,Urban
243,Joneschester,2019-01-03,17.97,5439310000000.0,39,Urban
244,South Phillip,2019-01-29,35.23,7418230000000.0,38,Urban
245,Liumouth,2019-03-30,4.66,3164440000000.0,69,Urban
246,West Anthony,2019-01-10,32.34,1479320000000.0,70,Urban
247,North Jason,2019-02-26,13.88,2494980000000.0,6,Urban
248,North Jason,2019-03-21,10.42,6601540000000.0,6,Urban
249,Carriemouth,2019-04-28,11.46,6991850000000.0,52,Urban
250,Huntermouth,2019-05-04,36.77,7186620000000.0,37,Urban
251,South Phillip,2019-04-18,39.95,9719020000000.0,38,Urban
252,South Jack,2019-02-01,28.37,3372010000000.0,46,Urban
253,Port Johnbury,2019-05-05,25.3,2541020000000.0,3,Urban
254,South Phillip,2019-05-06,43.43,2435200000000.0,38,Urban
255,North Jasmine,2019-04-10,38.24,2955000000000.0,33,Urban
256,South Michelleport,2019-01-27,15.45,7465260000000.0,72,Urban
257,North Madeline,2019-04-07,32.99,1819350000000.0,19,Urban
258,Christopherfurt,2019-02-24,40.33,9584190000000.0,41,Urban
259,Williamsstad,2019-02-23,4.68,9109970000000.0,59,Urban
260,Martinezhaven,2019-04-18,34.7,2023090000000.0,25,Urban
261,Simpsonburgh,2019-04-03,4.74,8556330000000.0,21,Urban
262,New Jacobville,2019-02-04,27.63,4329150000000.0,50,Urban
263,South Karenland,2019-02-12,5.78,8890440000000.0,4,Urban
264,Royland,2019-01-27,24.56,9656710000000.0,64,Urban
265,Karenside,2019-01-22,24.72,5326730000000.0,5,Urban
266,West Robert,2019-05-05,10.15,9392180000000.0,39,Urban
267,Port Samanthamouth,2019-04-27,12.84,5659910000000.0,57,Urban
268,West Samuelburgh,2019-03-07,14.55,7160360000000.0,73,Urban
269,New Kimberlyborough,2019-03-29,42.51,8296940000000.0,33,Urban
270,Port David,2019-03-27,15.64,5338480000000.0,7,Urban
271,Karenside,2019-03-18,36.96,7605140000000.0,5,Urban
272,New Paulton,2019-02-08,39.65,8505960000000.0,44,Urban
273,West Ericstad,2019-01-08,32.99,6688340000000.0,25,Urban
274,Port Johnbury,2019-03-21,32.8,5450930000000.0,3,Urban
275,Port Samanthamouth,2019-03-27,16.05,1412280000000.0,57,Urban
276,Port Frank,2019-01-08,42.13,2099160000000.0,23,Urban
277,Lake Jonathanshire,2019-04-06,16.84,6164450000000.0,5,Urban
278,West Angela,2019-02-05,36.37,7832430000000.0,48,Urban
279,Port Samanthamouth,2019-03-27,21.46,9991540000000.0,57,Urban
280,North Madeline,2019-03-04,21.38,9544490000000.0,19,Urban
281,Williamsview,2019-01-15,44.33,4627030000000.0,46,Urban
282,Grahamburgh,2019-02-21,22.65,816396000000.0,61,Urban
283,South Evanton,2019-03-06,30.87,5811920000000.0,11,Urban
284,Loganberg,2019-03-27,4.72,6120690000000.0,23,Urban
285,Carriemouth,2019-02-21,44.18,4528590000000.0,52,Urban
286,Port David,2019-01-02,7.45,6148350000000.0,7,Urban
287,West Heidi,2019-01-30,30.84,8936560000000.0,28,Urban
288,Williamsstad,2019-03-05,25.02,1313210000000.0,59,Urban
289,North Barbara,2019-02-04,42.59,4971250000000.0,18,Urban
290,Lake Danielberg,2019-03-17,10.18,4714400000000.0,19,Urban
291,North Markport,2019-04-13,20.09,4311210000000.0,22,Urban
292,Port Angela,2019-05-02,35.76,7945960000000.0,67,Urban
293,Port Samanthamouth,2019-03-15,25.97,7725960000000.0,57,Urban
294,West Angela,2019-05-03,24.07,7808190000000.0,48,Urban
295,Leahton,2019-02-21,24.13,6759670000000.0,17,Urban
296,North Markport,2019-04-28,40.46,2567890000000.0,22,Urban
297,Karenside,2019-03-09,40.86,1757540000000.0,5,Urban
298,Jerryton,2019-01-07,7.86,707330000000.0,64,Urban
299,South Michelleport,2019-04-14,37.93,1533270000000.0,72,Urban
300,Valentineton,2019-03-25,22.53,2335050000000.0,45,Urban
301,East Kaylahaven,2019-04-09,10.03,8036810000000.0,65,Urban
302,Erikaland,2019-04-13,25.22,4847170000000.0,37,Urban
303,West Christopherberg,2019-01-08,37.78,8767060000000.0,32,Urban
304,Pattyland,2019-02-01,32.03,2850240000000.0,59,Urban
305,Deanville,2019-02-08,21.22,4786810000000.0,49,Urban
306,West Christopherberg,2019-03-21,43.87,5085480000000.0,32,Urban
307,Justinberg,2019-03-23,30.58,3503300000000.0,39,Urban
308,Lake Danielberg,2019-02-24,34.82,2442270000000.0,19,Urban
309,Port Samanthamouth,2019-01-30,38.78,6119830000000.0,57,Urban
310,Lake Danielberg,2019-02-28,44.96,6319590000000.0,19,Urban
311,Deanville,2019-04-15,24.3,1065300000000.0,49,Urban
312,Pattyland,2019-02-15,44.03,1556660000000.0,59,Urban
313,Karenside,2019-01-27,7.65,473230000000.0,5,Urban
314,Port Angela,2019-04-22,7.91,6767310000000.0,67,Urban
315,West Angela,2019-04-14,32.77,4995730000000.0,48,Urban
316,South Karenland,2019-03-26,35.5,1482390000000.0,4,Urban
317,New Jacobville,2019-02-18,39.97,8028700000000.0,50,Urban
318,Roberthaven,2019-03-14,36.84,4123410000000.0,47,Urban
319,Lake Scottton,2019-04-24,5.31,9668340000000.0,58,Urban
320,Amandaburgh,2019-01-11,29.24,7279900000000.0,12,Urban
321,Reynoldsfurt,2019-05-05,14.95,1404730000000.0,67,Urban
322,West Patrickchester,2019-02-09,16.1,9112330000000.0,25,Urban
323,Christopherfurt,2019-04-13,37.22,3288050000000.0,41,Urban
324,South Evanton,2019-04-27,27.78,9377580000000.0,11,Urban
325,Lake Scottton,2019-02-07,10.76,4201250000000.0,58,Urban
326,Roberthaven,2019-03-14,35.27,4034560000000.0,47,Urban
327,Rodneyfort,2019-03-04,28.69,275698000000.0,34,Urban
328,West Josephberg,2019-02-17,41.49,2821330000000.0,45,Urban
329,Lake Jonathanshire,2019-03-21,37.95,8353660000000.0,5,Urban
330,Simpsonburgh,2019-02-05,25.58,2038700000000.0,21,Urban
331,West Heidi,2019-03-19,5.65,2474790000000.0,28,Urban
332,North Barbara,2019-03-23,23.76,5550270000000.0,18,Urban
333,North Jasmine,2019-03-11,37.93,4221380000000.0,33,Urban
334,West Gabriel,2019-04-29,36.7,4103500000000.0,57,Urban
335,Liumouth,2019-04-14,31.63,6166290000000.0,69,Urban
336,Carriemouth,2019-03-02,28.04,5138540000000.0,52,Urban
337,West Robert,2019-03-24,34.9,9472330000000.0,39,Urban
338,North Jasmine,2019-05-02,29.86,3198990000000.0,33,Urban
339,Carriemouth,2019-03-21,44.64,9560840000000.0,52,Urban
340,Lake Scottton,2019-02-15,22.75,8382040000000.0,58,Urban
341,North Madeline,2019-04-12,7.77,9273340000000.0,19,Urban
342,Lake Danielberg,2019-01-07,17.39,4355540000000.0,19,Urban
343,North Madeline,2019-04-30,37.48,2508130000000.0,19,Urban
344,Port David,2019-01-07,20.49,5846260000000.0,7,Urban
345,Royland,2019-02-11,30.41,7200100000000.0,64,Urban
346,West Samuelburgh,2019-02-20,19.65,6623790000000.0,73,Urban
347,West Angela,2019-03-18,34.05,5332410000000.0,48,Urban
348,West Patrickchester,2019-03-06,32.37,3684670000000.0,25,Urban
349,Port Frank,2019-02-05,20.1,4443070000000.0,23,Urban
350,New Kimberlyborough,2019-02-09,39.55,6010050000000.0,33,Urban
351,Justinberg,2019-04-20,29.07,209655000000.0,39,Urban
352,West Angela,2019-04-18,16.18,5770100000000.0,48,Urban
353,Justinberg,2019-03-10,37.89,5563130000000.0,39,Urban
354,Valentineton,2019-01-10,19.91,774511000000.0,45,Urban
355,Williamsview,2019-04-07,18.92,23948941587.0,46,Urban
356,South Jack,2019-01-31,21.75,6971160000000.0,46,Urban
357,Port Frank,2019-02-18,39.06,7301850000000.0,23,Urban
358,Leahton,2019-02-13,16.79,4744790000000.0,17,Urban
359,South Michelleport,2019-02-22,22.52,8522740000000.0,72,Urban
360,South Karenland,2019-04-25,24.86,1307710000000.0,4,Urban
361,Richardfort,2019-02-16,17.92,820639000000.0,38,Urban
362,Williamsstad,2019-04-16,23.12,969458000000.0,59,Urban
363,South Michelleport,2019-02-12,27.7,5582880000000.0,72,Urban
364,West Patrickchester,2019-04-13,33.33,1834060000000.0,25,Urban
365,Martinezhaven,2019-04-18,5.81,2124250000000.0,25,Urban
366,North Jason,2019-01-23,21.95,6701800000000.0,6,Urban
367,North Jason,2019-04-18,22.42,4927790000000.0,6,Urban
368,Lake Scottton,2019-05-03,9.01,1289760000000.0,58,Urban
369,West Christopherberg,2019-03-01,11.97,6422550000000.0,32,Urban
370,North Markport,2019-04-10,38.02,8834530000000.0,22,Urban
371,Christopherfurt,2019-04-09,29.96,9825840000000.0,41,Urban
372,North Madeline,2019-01-29,17.57,2596460000000.0,19,Urban
373,Richardfort,2019-02-01,10.26,9554940000000.0,38,Urban
374,South Phillip,2019-01-25,38.15,3599160000000.0,38,Urban
375,East Kaylahaven,2019-02-11,43.19,8671040000000.0,65,Urban
376,Rodneyfort,2019-04-11,36.3,9048910000000.0,34,Urban
377,Pattyland,2019-04-26,19.99,8827780000000.0,59,Urban
378,South Karenland,2019-03-24,41.44,604857000000.0,4,Urban
379,Port David,2019-03-24,28.84,5266780000000.0,7,Urban
380,Rodneyfort,2019-03-10,29.13,4634910000000.0,34,Urban
381,New Paulton,2019-02-02,17.19,8500430000000.0,44,Urban
382,Williamsstad,2019-03-12,18.67,2161830000000.0,59,Urban
383,South Michelleport,2019-01-29,9.79,5529060000000.0,72,Urban
384,West Christopherberg,2019-03-21,21.41,7703400000000.0,32,Urban
385,Lake Scottton,2019-03-25,36.92,7043640000000.0,58,Urban
386,Port Angela,2019-03-19,17.21,1694210000000.0,67,Urban
387,Christopherfurt,2019-04-17,32.39,653652000000.0,41,Urban
388,Joneschester,2019-02-27,33.34,2386090000000.0,39,Urban
389,Loganberg,2019-01-25,26.03,9123750000000.0,23,Urban
390,South Phillip,2019-02-19,33.07,8518160000000.0,38,Urban
391,Deanville,2019-01-23,42.45,7286210000000.0,49,Urban
392,New Kimberlyborough,2019-01-30,29.09,8587120000000.0,33,Urban
393,Port Johnbury,2019-04-11,9.1,7804750000000.0,3,Urban
394,West Patrickchester,2019-04-19,44.5,8638320000000.0,25,Urban
395,West Robert,2019-01-11,5.16,1592590000000.0,39,Urban
396,New Paulton,2019-03-28,14.94,3703490000000.0,44,Urban
397,South Latoya,2019-03-19,31.72,363818000000.0,10,Urban
398,Robertport,2019-02-18,43.47,7995690000000.0,12,Urban
399,Valentineton,2019-01-19,6.71,9052710000000.0,45,Urban
400,South Latoya,2019-01-18,10.98,7144190000000.0,10,Urban
401,Simpsonburgh,2019-01-12,24.83,3151660000000.0,21,Urban
402,West Patrickchester,2019-02-12,22.64,4553730000000.0,25,Urban
403,Richardfort,2019-04-17,23.0,720021000000.0,38,Urban
404,Hurleymouth,2019-02-20,17.07,7023700000000.0,36,Urban
405,Leahton,2019-01-27,29.36,2921810000000.0,17,Urban
406,West Anthony,2019-04-29,27.04,4375350000000.0,70,Urban
407,New Kimberlyborough,2019-01-05,39.47,2812690000000.0,33,Urban
408,South Latoya,2019-03-19,40.29,660213000000.0,10,Urban
409,Williamsstad,2019-04-12,17.57,7099680000000.0,59,Urban
410,South Karenland,2019-02-01,31.64,9377350000000.0,4,Urban
411,North Jason,2019-04-16,24.07,9726120000000.0,6,Urban
412,West Angela,2019-01-27,9.24,2623130000000.0,48,Urban
413,Lake Danielberg,2019-02-08,10.31,2464530000000.0,19,Urban
414,Port Samanthamouth,2019-04-06,24.18,8484620000000.0,57,Urban
